Date,Open,High,Low,Close,Volume
2025-05-22,99.98,101.02,99.18,100.12,916818
2025-05-23,99.82,100.43,99.52,100.13,723531
2025-05-26,98.32,98.53,96.68,98.46,733656
2025-05-27,97.66,98.33,96.15,97.98,537186
2025-05-28,97.45,98.89,97.3,97.72,56614
2025-05-29,97.86,98.95,96.33,97.43,611266
2025-05-30,98.18,98.14,97.56,97.65,536612
2025-06-02,97.44,98.57,97.28,97.72,458452
2025-06-03,98.07,100.09,98.0,98.98,768538
2025-06-04,97.39,96.84,95.25,96.68,539656
2025-06-05,97.02,98.88,96.9,97.03,457953
2025-06-06,97.69,98.17,96.25,97.54,446207
2025-06-09,95.77,96.57,95.89,96.12,143117
2025-06-10,96.28,96.8,96.6,96.68,151245
2025-06-11,97.38,99.25,96.27,97.66,782642
2025-06-12,98.34,99.57,97.81,98.84,160116
2025-06-13,98.94,98.89,97.14,98.13,880117
2025-06-16,97.87,99.07,96.36,97.56,43194
2025-06-17,97.35,98.03,95.96,96.99,239665
2025-06-18,97.36,98.64,96.04,97.56,185528
2025-06-19,98.22,99.81,97.42,98.46,297709
2025-06-20,96.59,97.75,95.15,96.87,194352
2025-06-23,97.02,96.84,96.65,96.81,869587
2025-06-24,94.45,95.61,95.08,95.32,660697
2025-06-25,96.23,97.2,95.77,96.03,354890
2025-06-26,98.12,99.21,96.81,98.22,104876
2025-06-27,97.36,98.55,96.02,97.47,529936
2025-06-30,97.72,99.72,96.73,98.35,26870
2025-07-01,98.97,100.02,98.66,98.86,974250
2025-07-02,96.27,97.16,95.36,95.98,921319
2025-07-03,97.62,97.98,95.63,97.24,933894
2025-07-04,96.49,97.97,95.67,96.63,52080
2025-07-07,98.12,99.34,97.14,98.01,459152
2025-07-08,98.39,98.35,97.5,97.97,539387
2025-07-09,97.05,98.61,96.23,96.91,213593
2025-07-10,96.57,98.19,96.24,96.87,118800
2025-07-11,97.55,98.81,96.66,97.88,768242
2025-07-14,98.58,99.56,96.36,97.81,9653
2025-07-15,97.69,98.78,95.77,97.74,796989
2025-07-16,98.46,99.74,96.69,98.65,229751
2025-07-17,99.54,99.96,97.26,98.77,342089
2025-07-18,98.82,100.12,98.01,98.73,786877
2025-07-21,97.61,96.89,96.29,96.71,4206
2025-07-22,96.79,98.68,96.85,97.07,959359
2025-07-23,99.19,98.4,97.49,98.33,15948
2025-07-24,99.06,100.41,97.26,98.72,514425
2025-07-25,99.39,100.29,98.35,98.97,108683
2025-07-28,99.94,101.18,98.54,99.41,683056
2025-07-29,98.34,100.12,97.93,98.54,713251
2025-07-30,98.3,99.02,97.83,97.9,549901
2025-07-31,96.96,99.04,96.58,97.12,161580
2025-08-01,96.73,97.62,95.71,96.81,306362
2025-08-04,95.73,96.24,95.72,96.22,217454
2025-08-05,95.99,98.05,95.68,96.69,615820
2025-08-06,96.84,98.37,96.49,96.91,921392
2025-08-07,97.63,98.31,96.56,98.26,961372
2025-08-08,99.84,100.31,97.58,99.58,760681
2025-08-11,98.81,98.9,96.95,98.45,569326
2025-08-12,98.92,99.44,98.29,98.36,87129
2025-08-13,98.91,99.13,98.27,98.66,198527
